INDEX	FEATURE	IMPORTANCE	REPRESENTATIVENESS	SPECIFICITY	CONTEXT
0	<SOS>da/ra<EOS>	0.27	2	97	
1	<SEP>tte	0.24	1	98	ikke/tte(1.0) below_threshold(0.0)
2	<SOS>ikke/itte<EOS>	0.24	6	96	
3	çi<SEP>	0.22	1	73	ikke/çi(0.6) ikke/iççi(0.2) mye/myçi(0.1) mye/myççi(0.1) below_threshold(0.1)
4	sø<SEP>	0.20	1	96	så/sø(0.9) below_threshold(0.1)
5	<SEP>upp	0.20	1	97	opp/upp(0.4) oppi/uppi(0.2) oppå/uppå(0.1) oppe/uppe(0.0) oppover/uppåver(0.0) oppatt/uppatt(0.0) below_threshold(0.1)
6	<SOS>jeg/je<EOS>	0.19	7	89	
7	<SOS>jeg/jæ<EOS>	0.17	12	98	
8	<SOS>var/var<EOS>	0.16	8	85	
9	<SOS>er/ær<EOS>	0.15	10	98	
10	<SEP>jæi	0.15	2	93	jeg/jæi(1.0) below_threshold(0.0)
11	øɽɽ	0.15	1	77	folk/føɽɽk(0.2) mjølk/mjøɽɽk(0.1) hjelpe/jøɽɽpe(0.1) hjelp/jøɽɽp(0.0) sjølve/ʂøɽɽve(0.0) følge/føɽɽje(0.0) vel/vøɽɽ(0.0) sjøl/ʂøɽɽve(0.0) golvet/gøɽɽve(0.0) below_threshold(0.5)
12	<SOS>er/æ<EOS>	0.13	17	72	
13	ræ<SEP>	0.13	1	72	det/ræ(0.9) deg/ræ(0.1) below_threshold(0.0)
14	<SOS>att/att<EOS>	0.12	1	65	
15	<SEP>re	0.12	10	62	det/re(0.9) de/remm(0.0) rett/rett(0.0) regel/regel(0.0) deg/re(0.0) den/renn(0.0) rettogslett/rettåʂlett(0.0) redd/redd(0.0) dem/remm(0.0) resten/resstn̩(0.0) reise/reise(0.0) riktig/rekkti(0.0) reiste/resste(0.0) rette/rette(0.0) dere/re(0.0) reise/rese(0.0) de/re(0.0) regne/reŋŋne(0.0) below_threshold(0.1)
16	<SEP>bɽe	0.11	1	88	ble/bɽe(0.8) blei/bɽei(0.1) ble/bɽei(0.0) below_threshold(0.0)
17	jæ<SEP>	0.11	12	96	jeg/jæ(1.0) gjør/jæ(0.0) below_threshold(0.0)
18	<SOS>ved/ve<EOS>	0.11	1	55	
19	<SEP>ræi	0.10	1	41	de/ræi(0.4) reise/ræise(0.1) dem/ræi(0.1) reiste/ræiste(0.0) reiser/ræiser(0.0) rein/ræin(0.0) reiser/ræise(0.0) reiste/ræisste(0.0) reist/ræist(0.0) below_threshold(0.2)
20	nok	0.10	1	65	noe/nokko(0.4) noe/noko(0.2) noen/nokkon(0.1) nok/nokk(0.1) noen/nokon(0.1) noen/nokko(0.0) noen/noko(0.0) below_threshold(0.1)
21	<SOS>det/re<EOS>	0.10	7	95	
22	<SEP>tie	0.10	0	48	tida/tie(0.7) tiende/tiene(0.1) tider/tier(0.1) below_threshold(0.2)
23	<SEP>up	0.10	1	95	oppi/uppi(0.3) opp/upp(0.3) oppå/uppå(0.1) oppe/uppe(0.0) oppover/uppåver(0.0) oppatt/uppatt(0.0) below_threshold(0.2)
24	<SEP>er	0.10	1	79	er/er(1.0) below_threshold(0.0)
25	<SOS>hva/va<EOS>	0.09	1	79	
26	<SOS>noe/no<EOS>	0.09	4	65	
27	çy	0.09	1	57	mye/myççy(0.4) kyr/çyr(0.1) kyr/çy(0.1) mye/myçy(0.1) kyrne/çyn(0.0) below_threshold(0.3)
28	<SOS>er/er<EOS>	0.09	1	88	
29	<SOS>da/a<EOS>	0.09	3	58	
30	<SOS>vet/vett<SEP>du/du<EOS>	0.08	1	56	
31	vør	0.08	2	55	vært/vøre(0.2) vært/vøri(0.2) blitt/vørrte(0.1) blitt/vørrti(0.1) være/vørå(0.1) være/vørrå(0.1) vært/vørr(0.1) vært/vør(0.0) være/vørr(0.0) vært/vørri(0.0) vært/vørre(0.0) være/vør(0.0) blitt/vørrt(0.0) vært/vørrt(0.0) below_threshold(0.0)
32	<SEP>ru	0.08	3	58	du/ru(0.8) rundt/runnt(0.1) runde/runnde(0.0) below_threshold(0.1)
33	ɽæi	0.08	1	91	blei/bɽæi(0.7) flere/fɽæire(0.1) ålreit/åɽæit(0.1) pleier/pɽæier(0.0) fler/fɽæir(0.0) pleier/pɽæie(0.0) below_threshold(0.1)
34	mæi<SEP>	0.08	1	76	meg/mæi(0.9) mer/mæi(0.1) below_threshold(0.1)
35	æra<SEP>	0.08	1	60	være/væra(0.7) gjøre/jæra(0.1) below_threshold(0.1)
36	<SOS>det/de<SEP>er/ær<EOS>	0.08	5	99	
37	dærre	0.07	1	55	derre/dærre(0.8) der/dærre(0.2) below_threshold(0.0)
38	dømm<SEP>	0.07	2	98	de/dømm(0.8) dem/dømm(0.1) below_threshold(0.0)
39	ømm<SEP>	0.07	3	88	de/dømm(0.6) de/rømm(0.1) dem/dømm(0.1) dem/rømm(0.0) de/ømm(0.0) kommer/çømm(0.0) below_threshold(0.0)
40	<SEP>çue	0.07	0	52	tjue/çue(0.9) below_threshold(0.1)
41	<SEP>oɽ	0.07	0	69	ord/oɽ(0.9) below_threshold(0.1)
42	<SOS>så/så<SEP>er/ær<EOS>	0.07	1	99	
43	gå<SEP>	0.07	2	31	gå/gå(0.7) går/gå(0.2) noe/någgå(0.0) dager/dåggå(0.0) below_threshold(0.0)
44	mor	0.07	2	47	moro/morro(0.3) mor/mor(0.3) moro/moro(0.1) bestemor/besstemor(0.1) mora/morra(0.1) mora/mora(0.0) bestemor/bæsstemor(0.0) below_threshold(0.2)
45	<SOS>mest/messt<EOS>	0.07	1	49	
46	kø	0.07	1	49	kommet/kømmi(0.1) skal/skø(0.1) kø/kø(0.1) korn/kønn(0.1) below_threshold(0.7)
47	ræd	0.07	0	30	tretti/træddve(0.5) below_threshold(0.5)
48	øri	0.07	1	60	vært/vøri(0.6) kjøring/çøriŋ(0.1) below_threshold(0.3)
49	<SEP>var	0.07	10	60	var/var(0.9) ble/varrt(0.1) være/vara(0.0) vare/vare(0.0) ble/vart(0.0) varmt/varrnt(0.0) varer/varer(0.0) varm/varrm(0.0) varme/varrme(0.0) below_threshold(0.0)
50	<SOS>trur/tru<SEP>jeg/e<EOS>	0.07	1	45	
51	ysste	0.06	0	48	første/fysste(0.7) søster/sysster(0.1) below_threshold(0.3)
52	dere	0.06	1	47	dere/dere(0.6) videre/videre(0.1) studere/studere(0.1) below_threshold(0.3)
53	joɽ	0.06	1	65	gjorde/joɽe(0.4) ifjor/ifjoɽ(0.2) gjorde/joɽ(0.1) jordet/joɽe(0.0) jorda/joɽa(0.0) jord/joɽ(0.0) jordbruk/joɽbruk(0.0) below_threshold(0.2)
54	<SOS>da/da<EOS>	0.06	22	45	
55	<SEP>aan	0.06	1	67	annen/aan(0.5) annet/aant(0.3) annet/aan(0.0) below_threshold(0.1)
56	ɽ	0.06	25	55	blir/bɽi(0.1) folk/fåɽɽk(0.1) blir/bɽir(0.0) blei/bɽæi(0.0) bli/bɽi(0.0) sjøl/ʂøɽ(0.0) blitt/bɽitt(0.0) gamle/gammɽe(0.0) skole/skoɽe(0.0) gjorde/joɽe(0.0) glad/gɽa(0.0) folk/føɽɽk(0.0) ble/bɽe(0.0) plass/pɽass(0.0) flere/fɽere(0.0) skolen/skuɽa(0.0) vel/væɽ(0.0) skole/skuɽe(0.0) ifjor/ifjoɽ(0.0) ord/oɽ(0.0) helga/hæɽɽja(0.0) dårlig/dåɽi(0.0) jul/juɽ(0.0) gard/gaɽ(0.0) flink/fɽiŋŋk(0.0) flytta/fɽøtta(0.0) mjølk/mjøɽɽk(0.0) gård/gåɽ(0.0) fleste/fɽesste(0.0) elg/æɽɽj(0.0) gjorde/joɽ(0.0) blei/bɽei(0.0) helg/hæɽɽj(0.0) elva/æɽɽva(0.0) hjelpe/jøɽɽpe(0.0) klokka/kɽåkka(0.0) vel/veɽ(0.0) klart/kɽart(0.0) hjelpe/jæɽɽpe(0.0) flinke/fɽiŋŋke(0.0) galt/gæɽi(0.0) bokmål/bokmåɽ(0.0) hjelp/jøɽɽp(0.0) flere/fɽæire(0.0) ålreit/åɽæit(0.0) folka/fåɽɽka(0.0) klasse/kɽasse(0.0) flytte/fɽøtta(0.0) sjølve/ʂøɽɽve(0.0) mål/måɽ(0.0) flytte/fɽøtte(0.0) flytta/fɽøtt(0.0) flytta/fɽøtte(0.0) fly/fɽy(0.0) elg/æɽɽg(0.0) folk/fæɽɽk(0.0) fleste/fɽeste(0.0) samla/sammɽa(0.0) hjelp/jæɽɽp(0.0) folkehøyskole/fåɽɽkehøyskoɽe(0.0) glatt/gɽatt(0.0) følge/føɽɽje(0.0) blant/bɽannt(0.0) golvet/gåɽɽve(0.0) fler/fɽer(0.0) blantannet/bɽanntaant(0.0) spørsmål/spøʂʂmåɽ(0.0) vel/vøɽɽ(0.0) pleier/pɽæier(0.0) vel/veɽɽ(0.0) sjøl/ʂøɽɽve(0.0) ordentlig/åŋŋkɽi(0.0) golvet/gøɽɽve(0.0) barneskole/barneskoɽe(0.0) jordet/joɽe(0.0) mjølka/mjøɽɽka(0.0) nord/noɽ(0.0) nordover/noɽåver(0.0) folketallet/fåɽɽketaɽe(0.0) melk/mjæɽɽk(0.0) velge/væɽɽja(0.0) ålreit/åɽeit(0.0) flytter/fɽøtt(0.0) jorda/joɽa(0.0) skolen/skoɽa(0.0) pluss/pɽuss(0.0) elgen/æɽɽjen(0.0) fler/fɽæir(0.0) plasser/pɽasser(0.0) flytte/fɽytte(0.0) vel/vøɽ(0.0) kjæledyr/çæɽedyr(0.0) klassa/kɽassa(0.0) problem/probbɽem(0.0) skoler/skoɽer(0.0) mjølkeproduksjon/mjøɽɽkeprodukʂon(0.0) plassen/pɽassn̩(0.0) allikevel/alikkavæɽ(0.0) sjøl/ʂæɽ(0.0) følger/føɽɽje(0.0) slik/ʂɽik(0.0) folkeskolen/fåɽɽkeskoorn(0.0) fjerde/fjæɽe(0.0) betale/betaɽe(0.0) jord/joɽ(0.0) plasser/pɽassa(0.0) avgårde/agåɽe(0.0) flytta/fɽytta(0.0) jordbruk/joɽbruk(0.0) sekstitallet/sekkstitaɽe(0.0) hull/høɽ(0.0) elgjakt/æɽɽjakkt(0.0) mjølke/mjøɽɽke(0.0) kvinnfolk/kvinnfåɽɽk(0.0) ålreit/åɽræit(0.0) hjalp/jaɽɽp(0.0) glemt/gɽømmt(0.0) tolv/tåɽɽv(0.0) halv/hæɽɽv(0.0) ble/bɽei(0.0) helgene/hæɽɽjene(0.0) plukka/pɽokka(0.0) jula/juɽa(0.0) plukke/pɽokke(0.0) sol/soɽ(0.0) blantanna/bɽanntanna(0.0) flytter/fɽytter(0.0) fæl/fæɽ(0.0) sola/soɽa(0.0) ungdomsskole/oŋŋdåmskoɽe(0.0) nordi/noɽi(0.0) ble/bɽæ(0.0) flytter/fɽøtter(0.0) galt/gaɽe(0.0) taler/taɽa(0.0) flott/fɽått(0.0) pleier/pɽæie(0.0) riksmål/rikksmåɽ(0.0) problem/probɽem(0.0) bord/boɽ(0.0) fæle/fæɽe(0.0) fløy/fɽøy(0.0) ulv/uɽɽv(0.0) byfolk/byfåɽɽk(0.0) blå/bɽå(0.0) jordbær/joɽɽbær(0.0) tolv/tøɽɽv(0.0) mjølk/mjæɽɽk(0.0) glass/gɽass(0.0) fløtinga/fɽøtiŋa(0.0) elver/æɽɽver(0.0) below_threshold(0.4)
57	<SEP>åpp	0.06	2	53	opp/åpp(0.7) oppi/åppi(0.1) oppe/åppe(0.0) oppå/åppå(0.0) oppvokst/åppvåkkst(0.0) oppover/åppåver(0.0) below_threshold(0.1)
58	fe<SEP>	0.06	1	46	for/fe(0.7) får/fe(0.1) vel/fe(0.1) kaffe/kaffe(0.0) treffe/treffe(0.0) tøffe/tøffe(0.0) below_threshold(0.1)
59	æu<SEP>	0.06	2	43	au/æu(0.8) jo/jæu(0.1) sau/sæu(0.0) below_threshold(0.0)
60	<SEP>kke	0.06	4	49	ikke/kke(1.0) below_threshold(0.0)
61	<SOS>du/ru<EOS>	0.06	2	93	
62	ʂʂ<SEP>	0.06	0	41	spørs/spøʂʂ(0.3) oss/våʂʂ(0.1) æsj/uʂʂ(0.1) tvers/tvæʂʂ(0.1) mars/maʂʂ(0.1) below_threshold(0.3)
63	<SEP>juɽ	0.06	0	60	jul/juɽ(0.6) jula/juɽa(0.0) below_threshold(0.4)
64	<SEP>nok	0.06	1	66	noe/nokko(0.4) noe/noko(0.2) noen/nokkon(0.1) nok/nokk(0.1) noen/nokon(0.1) noen/nokko(0.0) noen/noko(0.0) below_threshold(0.1)
65	kæ	0.06	2	59	kan/kænn(0.2) kanskje/kænnʂe(0.1) skauen/skævven(0.1) skal/skæ(0.1) kan/kæinn(0.1) snakker/snakkær(0.0) skøyt/skæut(0.0) liker/likær(0.0) bruker/brukær(0.0) onkelen/oŋŋkærn(0.0) hva/kæ(0.0) skauen/skæuen(0.0) skal/skær(0.0) below_threshold(0.4)
66	ikkt<SEP>	0.06	1	48	slikt/ʂlikkt(0.3) likt/likkt(0.3) utsikt/utsikkt(0.1) artig/arrtikkt(0.1) below_threshold(0.2)
67	ukk	0.06	1	39	husker/hukksa(0.2) brukt/brukkt(0.2) brukte/brukkte(0.2) nok/nukk(0.1) husker/hukkse(0.0) husker/hukksar(0.0) huske/hukkse(0.0) below_threshold(0.3)
68	åmmå	0.06	1	52	sommeren/såmmårn(0.3) sommer/såmmår(0.2) komme/kåmmå(0.2) samme/såmmå(0.1) below_threshold(0.2)
69	leg	0.06	1	36	legge/legge(0.1) tillegg/tillegg(0.1) legger/legg(0.1) legger/legger(0.0) egentlig/egentleg(0.0) anlegg/annlegg(0.0) legge/legga(0.0) below_threshold(0.6)
70	rer<SEP>	0.06	1	65	lærer/lærer(0.1) kjører/çører(0.1) hører/hører(0.1) turer/turer(0.1) klarer/klarer(0.1) varer/varer(0.0) below_threshold(0.5)
71	prøve	0.06	1	47	prøve/prøve(0.6) prøver/prøver(0.2) prøver/prøve(0.1) below_threshold(0.1)
72	aa	0.06	1	55	annet/aant(0.3) annen/aan(0.2) faren/faarn(0.1) ja/jaa(0.1) garden/gaarn(0.0) blantannet/bɽanntaant(0.0) faen/faan(0.0) dager/daar(0.0) below_threshold(0.3)
73	<SOS>jeg/jæi<EOS>	0.06	2	96	
74	dan<SEP>	0.06	1	43	dagen/dan(0.2) hvordan/vorrdan(0.1) lørdag/lørdan(0.1) lørdagen/lørdan(0.1) fredagen/fredan(0.1) søndagen/sønndan(0.1) below_threshold(0.4)
75	<SOS>nesten/nesstn̩<EOS>	0.06	1	59	
76	<SEP>rå	0.06	1	39	da/rå(0.6) råd/rå(0.1) rådyr/rådyr(0.0) below_threshold(0.2)
77	ssom	0.06	1	62	lissom/lissom(0.4) lissom/lissomm(0.2) messom/mæssomm(0.2) messom/messomm(0.1) below_threshold(0.1)
78	<SOS>du/u<EOS>	0.06	1	44	
79	<SOS>lenge/leŋŋe<EOS>	0.06	0	47	
80	upp	0.06	1	71	oppi/uppi(0.3) opp/upp(0.2) oppå/uppå(0.1) oppe/uppe(0.0) oppover/uppåver(0.0) oppatt/uppatt(0.0) gruppe/gruppe(0.0) below_threshold(0.3)
81	somm<SEP>	0.06	3	48	som/somm(0.8) liksom/likksomm(0.1) lissom/lissomm(0.1) messom/mæssomm(0.0) messom/messomm(0.0) below_threshold(0.0)
82	ykkt	0.06	1	43	fryktelig/frykktli(0.3) fryktelig/frykktle(0.2) trygt/trykkt(0.2) bygd/bykkt(0.1) tykte/tykkte(0.1) below_threshold(0.2)
83	<SOS>like/like<EOS>	0.06	1	46	
84	<SOS>veit/væit<SEP>du/du<EOS>	0.06	1	59	
85	lik<SEP>	0.06	2	55	slik/ʂlik(0.8) slik/slik(0.1) slik/lik(0.0) like/lik(0.0) slikt/ʂlik(0.0) below_threshold(0.0)
86	domm<SEP>	0.06	2	80	de/domm(0.7) dem/domm(0.3) below_threshold(0.0)
87	<SOS>si/si<EOS>	0.05	1	46	
88	<SOS>av/ta<EOS>	0.05	1	54	
89	<SEP>væra	0.05	1	64	være/væra(0.8) hverandre/væranndre(0.1) below_threshold(0.0)
90	drive	0.05	1	70	drive/drive(0.4) driver/drive(0.2) driver/driver(0.2) drevet/drive(0.1) below_threshold(0.0)
91	rem	0.05	1	57	de/remm(0.6) dem/remm(0.1) below_threshold(0.3)
92	<SEP>bɽ	0.05	7	68	blir/bɽi(0.3) blir/bɽir(0.2) blei/bɽæi(0.1) bli/bɽi(0.1) blitt/bɽitt(0.1) ble/bɽe(0.1) blei/bɽei(0.0) blant/bɽannt(0.0) blantannet/bɽanntaant(0.0) ble/bɽei(0.0) blantanna/bɽanntanna(0.0) ble/bɽæ(0.0) blå/bɽå(0.0) below_threshold(0.1)
93	æitt	0.05	1	44	veit/væitt(0.3) greit/græitt(0.2) ett/æitt(0.2) vet/væitt(0.1) et/æitt(0.1) het/hæitte(0.1) heter/hæitte(0.0) below_threshold(0.1)
94	<SOS>ja/ja<SEP>da/då<EOS>	0.05	0	17	
95	ug	0.05	1	42	tjue/çuge(0.1) ihug/ihug(0.1) ihug/ihæug(0.1) dugnad/dugnad(0.0) below_threshold(0.7)
96	<SEP>åt	0.05	1	38	åt/åt(0.8) åtte/åtte(0.1) åtti/åtti(0.0) åt/ått(0.0) åttende/åttn̩e(0.0) below_threshold(0.1)
97	<SEP>jæu	0.05	0	37	jo/jæu(0.9) below_threshold(0.1)
98	<SOS>de/domm<EOS>	0.05	1	83	
99	feri	0.05	0	28	ferie/ferie(0.3) ferie/feri(0.1) below_threshold(0.6)
100	ŋer<SEP>	0.05	2	56	lenger/leŋŋer(0.2) ganger/gaŋŋer(0.1) unger/oŋŋer(0.1) lenger/læŋŋer(0.1) penger/peŋŋer(0.1) trenger/treŋŋer(0.0) ganger/gåŋŋer(0.0) ganger/goŋŋer(0.0) below_threshold(0.3)
101	ru<SEP>	0.05	5	46	du/ru(0.5) trur/tru(0.4) tru/tru(0.0) bru/bru(0.0) below_threshold(0.0)
102	<SEP>æit	0.05	0	47	et/æit(0.8) ett/æitt(0.1) ett/æit(0.1) et/æitt(0.0) below_threshold(0.0)
103	ʂʂe	0.05	1	33	forskjell/fåʂʂell(0.2) fiska/fiʂʂe(0.1) forskjell/fåʂʂel(0.1) prosjekt/proʂʂekt(0.0) below_threshold(0.6)
